00KSCJkYb8JKa4Y3	Annisokay	Coma Blue	Arms
bVGPPAanYoqw1ElE	ATB	Long Way Home	Addicted to Music
bVLvgquuk6mwc1Zp	Alejandro Sanz	Tiene Que Ser Pecado	El alma al aire Edicion 2006
bVkNV9YcmvfE2x2d	Night Club	Survive	Scary World
bVxU4bkXQcooOUxF	Yves Montand	Les feuilles mortes	Chante Prevert
bWKX11QKBmnybgKC	Nicks Vieira	POXA CRUSH	Poxa Crush
bWWdx7UWIoiACEdg	Oskar Linnros	25	Vilja Bli
bWpIS4YhMBK5KxjL	Against the Current	Fireproof	Gravity
bWuofLm0XpcWnEnS	Anacondaz	Рокстар	Выходи за меня
bX5M3qUMGBUjjMqT	Yung Bans	Out	Yung Bans Vol. 2
bXEQUkwhMeCgyAUs	Powerwolf	Fire & Forgive	The Sacrament Of Sin
bXKybqsyy7KDlYtN	Filipe Ret	Os Deuses Me Chamam	Vivaz
bXUtXEansZmn31Bl	Elvis Presley	Reconsider Baby	Elvis Is Back
bY10EPWCJ9dl6baS	September	Ricochet	Love CPR
bY1z9WCAB0ymqD22	Neil Diamond	Girl, You'll Be a Woman Soon	The Bang Years 1966-1968 (The 23 Original Mono Recordings)
bYIE2wsyipy49tFj	Black Box Recorder	The Facts of Life	Life is Unfair
bYqZW9G7sBuJXwUa	I Am King	Impossible	Impossible
bYvzL9r2329xog6m	Lionel Richie	Truly	Lionel Richie
bZOe91GTFbo16Eqh	Johari	Void	Terra
baMIxwzJb7u5qTLN	Malevolent Creation	Remnants Of Withered Decay	The Ten Commandments
baN3c1PKr6M9Vb6Z	Incubus	Stellar	Make Yourself
bbI3jFRHtMWPKwJo	Lori Meyers	Alta Fidelidad	20 Años, 21 Canciones
bbVpQclTUoGuvvP0	Zayn	Talk to Me	Icarus Falls
bbqpHOxoSblhGnX6	Tim Hecker	Shipyards of La Ceiba	Radio Amor
bcXs6aKaTCvO33i9	Burial	Wounder	Burial
bcezPilJO8OYJLdW	Mili	Ga1ahad and Scientific Witchery	Miracle Milk
bcfXyBVTHa8cK1Gi	Silverchair	Steam Will Rise	Neon Ballroom
bcfmgB53YEYuYVyY	The Chariot	And	Et Tu, Brute ?
bdw1UJJiVDwzWxTA	Love And Rockets	No New Tale to Tell	Earth Sun Moon
be5ULvKwfaKpUOA3	Belchior	Voz da América	Belchior - iCollection
beG9rSyZQEchmGPZ	Taylor Swift	Drops Of Jupiter (Live)	Speak Now World Tour Live
beYu2TN89KrdfD2x	Xandria	Keep My Secret Well	Ravenheart
beufDWK6CE4eDuD0	Danny Kaye	Wonderful Copenhagen	Danny Kaye Sings Selections From The Samuel Goldwyn Technicolor Production Hans Christian Andersen (Original Motion Picture Soundtrack)
bfAJnlVNbnSeVHK7	Dagny	Love You Like That	Love You Like That
bfIPnBrrD16nvc0h	Finch	Project Mayhem	What It Is To Burn
bfZ29kKH6bnC6TaU	Sara Bareilles	Beautiful Girl	Beautiful Girl
bffvNF2nWIRx5BWs	Emancipator	Merlion	Dusk to Dawn
bfrMWPVsRglKR83D	The Shins	Young Pilgrims	Chutes Too Narrow
bh015Iz4RVf1KBWQ	Tyler, the Creator	Deathcamp	Cherry Bomb
bh2cTu0WT4xkT7Bf	Battle Beast	Endless Summer	No More Hollywood Endings
bhC2irBn6eOqLnqY	SE7EN	Scared	SCARED
bhTLRMfKnCUFzExH	David Bowie	The Man Who Sold the World	The Man Who Sold The World (2015 Remastered Version)
bhUzZjcw4Ja2yPfU	PJ Harvey	All and Everyone	Let England Shake
bi878sdqYHuvH8kB	Ray Charles	Unchain My Heart	Love To Hate
biFqaKzSGxmYyfgX	Grimes	Kill v. Maim	Art Angels
bjOD9cPE8aINcfxK	The Score	Under The Pressure	Pressure
bkDQIyAFj2CIiL8r	Preta Gil	Cheia de Desejo	Todas as Cores
bkWIzj3kIoGXyBZz	Paul McCartney	How Kind of You	Chaos And Creation In The Backyard
blZ9zSQBqOMxcPhN	Vanessa Carlton	Hear the Bells	Hear The Bells
bmGCAfAjJGc5HG0r	A Day to Remember	I Remember	What Separates Me From You
bmUo44WgvLNmEOoG	Ximena Sariñana	La vida no es fácil	No todo lo puedes dar
bnOxKlH33gGRva6m	Green Day	Waiting	Warning
bnnkS6qAnxJlz8VJ	The Mission	Bridges Burning	Gods Own Medicine
bnomEQbVPsiOUMbs	Audiomachine	So Say We All	Volturnus
bo5vKAMfEMFmj4IF	Spice Girls	Walk Of Life	Too Much
boEUnEUEkZ9N0Bcu	Donna Summer	Once Upon a Time	Once Upon A Time
boLtFF3Jejg1Pm5q	Dio	Rainbow in the Dark	Holy Diver
boQoVaKvCyKOjpbk	MARUV	No Love	Black Water
botiD7zE4uDh9IwJ	Los Hermanos	Sapato Novo	4
bozS7S1Bd397C0iE	Selah Sue	Fear Nothing	Reason - Deluxe Edition
bq3DFXzQdCgL5Yx1	beatboxbandit	One Last Thing	Chillhop Raw Cuts 2
bqZzl4bUlrvoBWhv	Two Steps from Hell	None Shall Live	Battlecry
bqdc8C3NQUOudxWK	Carpenters	Maybe It's You	Close To You
bqhTTyfHjZm37yCv	Nicky Jam	El Amante	Fénix
bqjM8SupQNqUaPBE	Fugazi	Bed for the Scraping	Red Medicine
bqk4aDgA8YXkshM1	The Slits	Spend, Spend, Spend	Cut
br8LGoIoLZ7AXJNR	Cloakroom	Sickle Moon Blues	Time Well
brBpKsxXpkxKWOIM	The Who	My Generation - Stereo Version	My Generation
brLdKgZoZL3MFDxD	Chico Buarque	Casualmente	Caravanas
bsizTBFio63TNrJO	The Alan Parsons Project	Games People Play	The Turn Of A Friendly Card (Expanded Edition)
bt05OEJoJtVqMAlZ	Pussy Riot	Organs	xxx
btvTYZbEkPT017Tm	Mogwai	You're Lionel Richie	Hardcore Will Never Die, But You Will
bu12l8MrV8lV8LNK	Feels	Awful Need	Post Earth
bu1VAGtGFvEdQ4xC	The Andrews Sisters	Boogie Woogie Bugle Boy	20th Century Masters: Best Of The Andrews Sisters (The Millennium Collection)
buHeO5K8Osr4o2xQ	EXID	Think About	HIPPITY HOP
buL8XwkXo77c2rgc	Robin Schulz	Show Me Love	SUGAR
buj0BUAyzLrx5hGN	Enrique Iglesias	Rhythm Divine	Enrique
bvLm90ppTqGEo6e9	Patrice Rushen	Remind Me	Straight From The Heart
bvQOW9z5bt67w4i7	Neneh Cherry	Black Monday	Broken Politics
bw5Mrk31wgy8PikG	The Swell Season	I Have Loved You Wrong	Strict Joy (Deluxe Edition)
bwcGtV1nV8WPfuEO	Joji	yeah right	BALLADS 1
bwrsbEP5ebgcQTO7	Thin Lizzy	Massacre	'Live And Dangerous'
bwscgLmAUxV6fjer	Miranda Lambert	Dry Town	Crazy Ex-Girlfriend
bwzZkvE0ihEkS0UE	Miami Horror	Dark Love	The Shapes
bxDwTve1BPQ32mGN	Móveis Coloniais de Acaju	Bem Natural	C_MPL_TE
bxV5qfy1L4hXsKxT	Autopsy	Embalmed	Severed Survival
bxdnwFPMNVQYHPWo	The Kills	Monkey 23	Keep On Your Mean Side
bxk6WOp7BpL0wppg	Bombay Bicycle Club	Swansea	Flaws
byXORiSPZADaSCxL	John Williams	Ahch-To Island	Star Wars: The Last Jedi (Original Motion Picture Soundtrack)
byZ4FrDQ0vQ82QBX	AOA	With Elvis	AOA 1st Album ANGEL'S KNOCK
bypsB2K6ADXUTBfl	Chelsea Wolfe	Static Hum	Hiss Spun
bz6QqJ0JTB1oHkOV	G.R.L.	Don't Talk About Love	G.R.L.
bzHwDeJj9UjIcofm	Sleaford Mods	When You Come up To Me	Eton Alive
bzKC3quTf7xliRmN	dodie	She	Human
bzqg8Cq18O1nJIiQ	Simian Mobile Disco	Hotdog	Attack Decay Sustain Release
bzyMAj2zih80Su8W	Eyes Set to Kill	Not Sorry	Eyes Set To Kill
c0DOx4e1YPc1Gdhn	Mac Miller	ROS	GO:OD AM
c0QsAKW6CrKULjVQ	lil skies	Boss Up	Life of a Dark Rose
c0VQUnEe2miJhKSn	CupcakKe	Mistress	Audacious
c0oTPqvKZKkIyvkx	Ladytron	Deep Blue	Velocifero
c1NfTE4ELlK56buS	Jóhann Jóhannsson	Transmutation At A Distance	Arrival (Original Motion Picture Soundtrack)
c1RfCbcaU8UjIl5C	Mr.Kitty	XIII	Time
c1U1QpDeVb5657Jb	Björk	An Echo a Stain	Vespertine (US Internet Release)
c1VjMYXO17ZsIoPx	Jennifer Lopez	I'm Real (Murder Remix)	J.Lo
c2TVWgfugYp9lHcR	Korn	Everything Falls Apart	The Serenity of Suffering
c2fPDlCAAF6AK7sq	Systema Solar	Yo Voy Ganao	La Revancha del Burro
c2ver6lYpL1yWUI9	The Getaway Plan	Where The City Meets The Sea	Other Voices, Other Rooms
c31h1TkpfspcVM0N	Cock Sparrer	England Belongs to Me	Shock Troops
c3pVu5Vh7lXpomUr	Banda Neira	Yang Patah Tumbuh, yang Hilang Berganti	Yang Patah Tumbuh, Yang Hilang Berganti
c3rvoc9eNmJ8bNCj	Palmy	คิดมาก	PALMY 5
c44tYj67oU0cFHe4	Os Paralamas Do Sucesso	Saber Amar	Arquivo II 1991 - 2000
c4NvI7LVw2G9lIV8	Rouge	Ragatanga (Asereje)	Rouge
c4oeRmbmqozrYQ0M	Saosin	The Stutter Says A Lot	Along The Shadow (Deluxe Edition)
c5NmembXHyw9yNxs	Thee Oh Sees	Minotaur	Floating Coffin
c5qNyFeeXepXU6Mx	Cher	Save Up All Your Tears	Love Hurts
c6xpIU8h8Tqt020P	The White Stripes	Effect and Cause	Icky Thump
c7w6n6KAUo9Psh4U	Kent	400 slag	Du & jag döden
c88PmdhhS7mXgRZQ	The Civil Wars	I've Got This Friend	Barton Hollow
c8CxxTCEAD99pd7w	Síntese	Pro que vier	Sem Cortesia (Vagando na Babilônia / Em Busca de Canaã)
c8J37j3zl9dxOzP9	Manu Gavassi	Muito Muito	Manu
c8PgsLUYYNVTQEtI	The Chemical Brothers	Star Guitar	Come With Us
c9MIKOu6DMVQmW73	Adam Green	Cigarette Burns Forever	Minor Love
c9W6h4NmedTuTQgP	The Cure	Never	Mixed Up
c9azALt30ol36Sfr	Iron Maiden	Childhood's End	Fear of the Dark (2015 - Remaster)
cAxcW63QKdgQEr6l	Dream Theater	Endless Sacrifice	Train of Thought
cB0Q4iGuS9IQ5Ido	Christina Aguilera	Here to Stay	Back To Basics
cB6Xtcs569wQnxxl	The 69 Eyes	Wasting The Dawn	Wasting The Dawn (Remastered 2006)
cBHUZNr249XTmxwL	Gold Fir	Fatal Fantasies	Fatal Fantasies
cBLLRWdFVuEX3FeJ	the GazettE	99.999	NINTH
cBbuwK42P6TivY32	The Sundays	Another Flavour	Static & Silence
cBrElDA4dxCJ3C6l	Gilberto Gil	Superhomem, A Canção	Realce
cBxt9mrvcgPWB7Ph	Paradise Lost	The Enemy	In Requiem
cCTOkAC3enFtOUMh	Gloryhammer	Angus McFife	Tales From The Kingdom Of Fife
cD7UWcobaN8mLqyb	The Byrds	Oil in My Lamp	Ballad Of Easy Rider
cDBVsXA8aI7P5QiL	Blur	Popscene	Modern Life Is Rubbish [Special Edition]
cDUDWICCP4YvwXYU	Jorja Smith	Beautiful Little Fools	Beautiful Little Fools
cDgtmqxPaNaZQeV4	Third Eye Blind	Can't Get Away	Out Of The Vein
cEAm0nZDHEs4tiXo	alt-J	Dissolve Me	An Awesome Wave
cEJHrKsbqXW3uLkT	This Mortal Coil	Waves Become Wings	It'll End In Tears (Remastered)
cEbpmBXZQ16JLcYn	Rise Against	The Dirt Whispered	Appeal To Reason
cEkzeQ2Yqmmi1NuR	Thiaguinho	Caraca, Muleke!	Outro Dia, Outra História
cEnxd5Ltx3EgedgS	Мы	Être À Moi	Ближе
cEvDgA1voE4yaxb1	Boards of Canada	Sixtyten	Music Has The Right To Children
cGLi5tm4WpRJwL8g	AFI	Totalimmortal	AFI
cH0LL6St3qiZRfaO	Little Mix	The Cure	LM5 (Deluxe)
cH1YE9vFx7jk1rfv	Between the Buried and Me	Desert of Song	The Great Misdirect
cHN1hiQQJOz93Msc	I Am Waiting for You Last Summer	Solar Wind	Edge Party
cHitdXIBiJZdPJEW	Noah and the Whale	Paradise Stars	Last Night On Earth
cHl5TI3jKBcNuuIA	Bivolt	Olha pra Mim	Bivolt no Estúdio Showlivre (Ao Vivo)
cHskexca51Qry0Tw	The Flying Burrito Brothers	Dark End Of The Street	The Gilded Palace Of Sin
cHtHcdeinkUAOF8L	Dälek	Forever Close My Eyes	From Filthy Tongue of Gods and Griots
cIR5GlaQRMsrcCMK	Inna	More Than Friends	Party Never Ends
cIskT8L3XmYmrBmS	Jamiroquai	Emergency on Planet Earth	Emergency on Planet Earth
cItkoIyGIr9LrIJS	Beirut	Elephant Gun	Elephant Gun
cJaHOM5cdGW2klUa	Tim Buckley	Love From Room 109 at The Islander (on Pacific Coast Highway)	Happy Sad
cJuKNBNeeYlQ7Vds	DJONGA	Geminiano	Heresia
cKFTcdU3JUGDWb2B	Arcade Fire	Everything Now (Todo Ya) - Remix por Bomba Estéreo	Everything Now (Todo Ya) - Remix por Bomba Estéreo
cKIYRmQBNTGxx8er	Big Time Rush	Show Me	Elevate
cKSvVxApROAbGJRx	Bryce Vine	Sour Patch Kids	Lazy Fair
cLg3AIgxxlI1U0sy	Thievery Corporation	Mandala	Radio Retaliation
cLkKPegusNN2b7T2	Prince	3121	3121
cMHzioKLJ3XhWhrc	Modest Mouse	Whenever You Breathe Out, I Breathe In (Positive Negative)	Building Nothing out of Something
cMXaDXpguB78WKz4	Teenage Cool Kids	landlocked state	Denton After Sunset
cNQFW3pirJTrHbQY	Morrissey	First of the Gang to Die	You Are the Quarry
cNTb3CpXBs0mvUC3	Jota Quest	Palavras De Um Futuro Bom	Jota Quest Quinze
cNylkOoSfpQ0Nnax	Townes Van Zandt	For The Sake of The Song	Townes Van Zandt
cOTFYq3WJs2aamwL	Dot Hacker	Floating Up The Stairs	How's Your Process? (Work)
cOWHM7Mdr9hqTYp8	Chelsea Wolfe	Fang	The Grime And The Glow
cPa09lVKwJ1DNaA7	Hanson	Dancin' In The Wind	Underneath
cPkE9eyJLx6GBoL2	Katatonia	Stalemate	Discouraged Ones
cQ0zoRvoRgcnzEjR	Leathermouth	5th Period Massacre	XO
cQ290rikR8d5JKMs	Márcio Greyck	Impossível Acreditar Que Perdi Você	O Mais Importante
cQ2962d0RaXKUsCN	Katharine McPhee	Everywhere I Go	Katharine McPhee
cQQ53HScKnKwPW2k	Xuxa	Feliz	Xegundo Xou da Xuxa
cQsZfwVrJQcFDRbT	TAEMIN	Love	MOVE - The 2nd Album
cQshYcYPsUiNA7Tp	Mýa	Fallen	Moodring
cQu2iSKTkfzWu3qe	Linkin Park	Rnw@y	Reanimation
cRFIidG8QXsT3ZuD	The Killers	Heart of a Girl	Battle Born
cRZcFdDKBzLxQwtG	Beyond Creation	Social Disability	The Aura
cRbAoi8NLm9rrnlZ	Hands Like Houses	No Parallels	Unimagine
cRdN7qxblxmiwGba	Drag Me Out	I'm Sorry	I'm Sorry
cS31IowR78ysCs7E	Brand New	The No Seatbelt Song	Your Favorite Weapon
cSJ3rv6DiHqyBJot	Caesars	Jerk It Out	Love For The Streets
cT5V6t1fbrGBBVLa	Empyrium	Der Nix	Weiland
cTKycnG91soC0EQP	Elton John	Bitter Fingers	Captain Fantastic And The Brown Dirt Cowboy
cTR9zROwHv8WuPDb	Gustavo Cerati	La excepción	La Excepción
cTvlGd7IXjcUxW09	Dishwalla	Until I Wake Up	And You Think You Know What Life's About
cUNaYKXkpKqYKVf7	Hooverphonic	Eden	Blue Wonder Power Milk
cUT2zCZ1hBxr9H0z	Mount Kimbie	Before I Move Off	Crooks & Lovers
cUaqk07LqH7mddcu	Aly & AJ	Speak for Myself	Into The Rush
cV2axTtnrRZsQKSw	Hatari	Ódýr	Neysluvara - EP
cVMgVJIpEkhFiQlR	Azealia Banks	Idle Delilah	Broke with Expensive Taste
cVYwfz0gxp4WGbz4	Thrice	Cold Cash And Cold Hearts	The Artist In The Ambulance
cXObHyfRP9zXpzul	Lisa	Empty MERMAiD	LiSA Best (Day)
cXTVGLCOksWefM7q	Tori Kelly	Falling Slow	Unbreakable Smile
cXimRhwBB8HEPiE4	Milton Nascimento	Olho d'água	Clube Da Esquina 2
cXxuXZwzAetR1tDQ	Avenged Sevenfold	Save Me	Nightmare
cYboSOMMLKKWXrn0	Mark Ronson	Daffodils	Uptown Special
cZ8e4ORu3ST8sM0I	Sparklehorse	Someday I Will Treat You Good	Vivadixiesubmarinetransmissionplot
cZXcA0XJNGeXkzgu	Billy Joel	Only the Good Die Young	The Stranger (Legacy Edition)
cZxw2bGGvryL8kB8	Pacificadores	Eu queria mudar	Pacificadores 2
caWnywsQKdyH9BmU	Chico Buarque	Querido Diário	The Essential Chico Buarque
cavk0sXOTxs3FLJk	Cólera	Direitos Humanos	Pela Paz em Todo Mundo
cciNyHBq9rkjKLyy	Baleia	Hiato	Atlas
cd2mZcSgcOnNNMpB	LUNA SEA	BELIEVE	EDEN
cd6olQ8uvmtJq3C4	Sia	Moon	Colour The Small One
cdlDm0Ljwooja2H9	Elvis Depressedly	Big Break	New Alhambra
cdp2w9xlOKFj02pH	Autechre	Altibzz	Quaristice
cdrlQKi8EptnYz7f	Marília Mendonça	A Gente Não Tá Junto - Ao Vivo	Realidade - Ao Vivo Em Manaus
cdtYnXLkjKctKcZz	Miami Sound Machine	Words Get In The Way	Primitive Love
ceHoFk2UITZ172aw	Noisia	Collider	Outer Edges
ceMurvtSAArJ0yAA	The Birthday Massacre	Promise Me	Nothing And Nowhere
ceXwFzD28XT3KHwP	Kylie Minogue	Never Too Late	Step Back in Time: The Definitive Collection
cecbkoxOOnVb2ZJ9	Wanna One	Awake!	1¹¹=1 (POWER OF DESTINY)
cf6sJ8Tl2Co4BtzM	Imagine Dragons	Summer	Smoke + Mirrors (Deluxe)
cfX4i7whBCN74mup	Miley Cyrus	On My Own	Bangerz (Deluxe Version)
cfa1O9W6VdSgQyhw	XXXTentacion	What Are You So Afraid Of	SKINS
cfiDkgCBCwzQWOYt	Sparks	Thank God It's Not Christmas	Kimono My House
cfnCDKI8VbHs2jd9	The Damned	Feel the Pain	Damned Damned Damned
cgKjyAYHpM5QoXSd	Conor Maynard	Can't Say No	Contrast
ciiX4dklkSIbwmqg	Rome	L'Assassin	Nos Chants Perdus
cj0qWQxGkV9zaMRi	Cate le Bon	Find Me	Crab Day
cjNWhVdO6mb2H3dX	3 Doors Down	Be Somebody	Seventeen Days
cjYyE8UAC9o9oPfm	Falamansa	Xote dos Milagres	Deixa Entrar...
ckBvgQf8v5qLUuYo	Helios	The Toy Garden	Eingya
ckVFnF7AkRKT9Iip	XTC	Grass	Skylarking
ckaKt1njaJekt91k	Josh Gad	In Summer	Frozen (Original Motion Picture Soundtrack / Deluxe Edition)
ckwv1SbW0SEktBLn	Nils Frahm	Ode	Solo
cl1d5Fr8rliarHpy	Alanis Morissette	Crazy (James Michael Mix)	The Collection (Standard Edition)
cldjlH1SMgV9I10R	Hans Zimmer	Davy Jones	Pirates of the Caribbean: Dead Man's Chest (Original Motion Picture Soundtrack)
cmZEB268vbVbUhGy	Spoon	Rent I Pay	Everything Hits at Once: The Best of Spoon
cmwsqSdRME6aLNYH	Junior Boys	Bits and Pieces	Begone Dull Care
cn5TczLB4jQm39AL	Hoobastank	Disappear	The Reason
cn5cIXow0ir00qNa	Whirr	Feel	Sway
cnFslNvlfALL7ZJC	Des Rocs	Used to the Darkness	Let The Vultures In
cnIfyMxPhA53V89i	Sandy e Junior	Não Dá Pra Não Pensar	Sandy & Júnior
cnP4lKPZu8jfUWHP	Frank Sinatra	Summer Wind	Strangers In The Night (Expanded Edition)
cnZGAtU1SnrKddra	Johnny Cash	All over Again	The Essential Johnny Cash
cnyZUM6yigWZ8lcW	My Bloody Valentine	Loomer	Loveless
coP1B7rV2E1ZgSqt	Dendemann	Ich dende also bin ich	da nich für!
cobqPU5dWFN2g6ky	Nickelback	If Everyone Cared	All the Right Reasons (Special Edition)
cop99EBSranLGdjs	Bloodhound Gang	Asleep at the Wheel	One Fierce Beer Coaster
cqO02dSdiVvPKzx8	Sleigh Bells	You Don't Get Me Twice	Bitter Rivals
crCZy21TXQWbFkGy	Lizzo	Worship	Coconut Oil
crFzyeqFkSb4K0TO	Andrea Bocelli	La Vie En Rose	Pasión
crrB8KOjPTgtV2ad	Motionless in White	Creatures	Creatures
crs60EtFSRAxDkzH	Nick Cave & The Bad Seeds	Death Is Not The End - 2011 Remastered Version	Murder Ballads (2011 Remastered Version)
ct7bVVlVkBhAFLYM	Owl City	Verge	Mobile Orchestra
ctZd9CAMpqy9XjVf	Paris Hilton	High Off My Love	High Off My Love
ctlsoJYATG0HAqko	Ennio Morricone	Once upon a time in America (Deborah's theme)	Ennio Morricone
cudXzRRb1vbS8Kdx	Khruangbin	Maria También	Con Todo El Mundo
cut5UFvCdLIYnXEr	Our Last Night	The Middle	The Middle
cvc9vgjLRH1He6KJ	Melvins	Zodiac	Bullhead
cvxuj49cKp4aRh4r	McFly	Love Is on the Radio	Love Is On The Radio
cwhv5CpgKslLAmUr	Luan Santana	Pra Você Lembrar de Mim	Ao Vivo
cwiZYNfqsd4SyuTA	Anitta	Fica Só Olhando	Meu Lugar
cwtOkntn5tcz5MYO	The Wrens	Happy	The Meadowlands
cwx9veaKUEzw6evL	Jamiroquai	Space Cowboy	The Return of the Space Cowboy
cx7Nqp8UVV51mYMC	St. Lucia	Gun	Hyperion
cyRMqYRBDcRleNsa	The Chameleons	Intrigue in Tangiers	What Does Anything Mean? Basically (2009 Remaster)
cyT9Tv23GrgnAcpw	Hollow Coves	We Will Run	Wanderlust
cyVqOKOMyHHkrR27	Zero 7	Out of Town	Simple Things
cyqzXkXOOKIB9zdc	Mika	Touches You	The Boy Who Knew Too Much
czGR7pTsV6UyfZyc	Darkspace	Dark 3.14	Darkspace III
czggisdgwcizxCV9	Agridoce	Ne Parle Pass	Agridoce
czvd0Ao7P0KV1uMB	India	Mi Mayor Venganza	Pura Salsa
d0MOmuVVM9KBQiiC	Lacrimosa	Alleine zu zweit	Elodia
d0aswhzYC2ZqMzud	Metallica	Enter Sandman - Live In Mexico City	Live S**t: Binge & Purge
d0cUXIetpuWjoETL	Madonna	Gang Bang	MDNA (Deluxe Version)
d1Wqi6ncXRfhEpOn	Kat DeLuna	Unstoppable	INSIDE OUT
d1fYUEnvKW7E7jVc	Raça	Um Charme	Um Charme
d2mh4hWjfW0rmHvz	Os Mutantes	Mágica	Mutantes
d35iXg7GmGpOTuuT	Miles Kane	Kingcrawler	Colour Of The Trap
d3XJODyFgcy3ZPiY	Robert Miles	Children	Dance Vault Mixes - Children
d3XsHNV1UNoNx5gc	Patio Solar	Al Sur	Temporada
d3Z8kIYMeLbiZWYR	Easy Star All-Stars	Time Version	Dub Side Of The Moon
d3aQlD9eyXSIDM3p	Tyler, the Creator	Cowboy	Wolf
d3rnBgVE8tAWRUgC	The War on Drugs	Eyes to the Wind	Lost In The Dream
d41q23C3RzLCuhyi	John Mayer	Split Screen Sadness	Heavier Things
d41rVa4fkK2uBVTh	Edan	Fumbling Over Words That Rhyme	Beauty & The Beat
d4RdoOUWkxPBJtkB	Birdy	Save Yourself	Beautiful Lies
d4toJom4WfS3zx8h	Maggie Lindemann	Pretty Girl	Pretty Girl (Cheat Codes X CADE Remix)
d4v7MgW4JZhlsrE8	Vàli	Hoestmelankoli	Whom the Moon a Nightsong Sings
d4v8YU6YvDVqCZkc	Ensiferum	By the Dividing Stream	Two Decades Of Greatest Sword Hits
d5B55Bk3l9LxTKZo	K. Michelle	Talk to God	KIMBERLY: The People I Used To Know
d6UsE8dg3m9NgAOk	The Queers	Punk Rock Girls	Summer Hits No. One
d6zTS27fzoySRhTd	Hoobastank	Running Away	Hoobastank (Expanded Edition)
d7LUnjrh9V7ORJSu	Car Seat Headrest	Hey, Space Cadet (Beast Monster Thing in Space)	How to Leave Town
d7NgZeGLMUMtG8kK	Cellar Darling	The Hermit	This Is the Sound
d7QHDkDK4cXrIuLu	Dixie Chicks	Travelin' Soldier	DCX MMXVI Live
d7Y8U8RXZSdKGYk0	Pulp	Party Hard	This Is Hardcore
d7ivSqjtaFDGHu2p	Wim Mertens	Close Cover	The Belly of an Architect
d83HsVAIrEFaAJ5D	Donna Summer	Now I Need You	Once Upon A Time
d8GT82qTPHbJFsqN	Ramona Rey	Skarb	Ramona Rey 2
d8riXUibMsxBq7eA	Flatsound	Intro	I Clung to You Hoping We'd Both Drown
d8syBjdNDWoy87As	Blur	Best Days	The Great Escape [Special Edition]
d9gqQrTy6u3fml8j	Air Formation	Cold Morning	Daylight Storms
dAVSHlWNfvQTLyU7	The Clash	Lose this Skin	Sandinista!
dAZsHUJ3OPr4Wwz4	T. Rex	Ride A White Swan	T. Rex (Remastered)
dBGg6kM6ZrBfA5ZH	Françoise Hardy	Tous les garçons et les filles	Quelle merveille! (Remastered)
dBKSiW5Jh7FqUqTS	Mustasch	Lawbreaker	Silent Killer
dBN1jkuchsGU5X5r	Actress	Marble Plexus	R.I.P.
dBSALjcI00vCQNYT	León Larregui	Birdie	Voluma
dBmY626rpQspSGuB	Mac DeMarco	No Other Demo Heart	Another (Demo) One
dCARCidUqQ5k2Bm8	Butcher Babies	Lilith	Lilith
dDGHGXWwkKHGnLau	Ralph	Cold to the Touch	Cold to the Touch
dDHKN9U5bWG7dqmb	En Vogue	Giving Him Something He Can Feel	Funky Divas
dDiwF9ctvCCELTE4	SXTN	Bongzimmer	Leben am Limit
dDyJBl7FGVK0IaSE	My Chemical Romance	Disenchanted	The Black Parade
dE5BHELZHqUhNa79	Cold War Kids	We Used to Vacation	Robbers & Cowards
dFJF4Ip54UdVAAQl	Judas Priest	Rocka Rolla	Rocka Rolla
dFJdDlSyWECT25PV	James Brown	Get Up (I Feel Like Being A) Sex Machine	20 All-Time Greatest Hits!
dFSAqmJvCkZAMEHH	Eric B. & Rakim	Microphone Fiend	Follow The Leader
dFTPlYByIaC04qVY	The Allman Brothers Band	Ramblin' Man	Dreams
dFaoGkAXWhAzWF0V	Elis Regina	Só Deus é Quem Sabe	Elis Regina
dFw4uIKeFCx32If9	L7	Mr. Integrity	Bricks Are Heavy
dGRO6FY1BRlU9az4	CLUB KURU	Ribbons	Giving In
dH1yAwifW0fSu1p1	Nancy Sinatra	These Boots Are Made for Walking	The Mexican - Music From The Motion Picture
dH77BneQXfLdLRHP	The Rolling Stones	Angie	Goats Head Soup (Remastered 2009)
dIME7mg1G2WHUAcE	Ishome	Tetra 94 (Part 2)	Confession
dJ7NGiyfZ0jsw48q	Dissection	No Dreams Breed In Breathless Sleep	Storm Of The Light's Bane
dJI2bNwz6Ei3mtko	Ken Laszlo	Tonight	The Best of Ken Laszlo
dJxMJaQj015mf6dN	Destroyer	Downtown	Kaputt
dK4L2hw63zomOqRL	Joan Baez	Here's To You	Live
dKZS5hhjbx9OA0gI	New Radicals	You Get What You Give	Maybe You've Been Brainwashed Too
dKlkQ3xm3H2SSX3T	The Drums	If He Likes It Let Him Do It	Portamento
dKs6Vloq5HG3ezq7	Candy Claws	Fallen Tree Bridge (Brave Rainbow Rider)	Ceres & Calypso in the Deep Time
dLDFtW8U2pTHfXHJ	Ian Brown	The Dream And The Dreamer	Ripples
dLE3N9WRWNP4VHNY	Sarius	Dziecko wojny	Wszystko co złe
dLlehvbOL1agzTXY	Elton John	Don't Let the Sun Go Down on Me	Caribou
dMNhmXKjExE2uAAZ	Frank Turner	1933	Be More Kind
dMyLFaAgwgkbDgiT	Cher	I'm In the Middle	Gypsys, Tramps & Thieves
dNAiNjvdqjA56Ufi	Smokey Robinson	Quiet Storm	A Quiet Storm
